Player,Team,Lane,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Aegis,Red Canids,Jungle,31,61.3%,3.2,2.5,3.4,8.6,5.8,340,72.1%,13.3,313,1.3,0.36,0.3,0.25,159,2,224,45.2%,6.5%,0,-
Aithusa,INTZ,Mid,18,16.7%,2.4,3,3.6,5.5,7.6,366,72.3%,29.3,653,1.19,0.49,0.25,0.24,-517,-14,-380,22.2%,5.6%,0,1
Ayu,FURIA,ADC,18,22.2%,3.5,3.6,2.3,4.3,9,409,69.8%,24.5,492,1.1,0.42,0.28,0.19,281,11,482,16.7%,0%,0,4
Brance,Red Canids,ADC,31,61.3%,6.1,6.1,1.9,5.7,9.2,462,76%,30.7,727,1.41,0.47,0.43,0.12,523,3,229,25.8%,9.7%,1,4
Cariok,paiN,Jungle,40,57.5%,3.2,1.8,3.5,9.5,5.3,318,73.7%,11.4,280,1.63,0.45,0.4,0.35,92,0,-44,55%,7.5%,0,4
Cavalo,Liberty,Support,18,50%,2.1,0.9,3.9,7.2,1.9,260,70.6%,8.4,172,3.32,1.63,0.56,0.44,-47,9,-56,11.1%,22.2%,0,-
Celo,LOS,ADC,26,42.3%,4,3.7,2.5,6.2,8.7,414,67.6%,25.7,551,1.39,0.53,0.41,0.15,-290,-10,-242,26.9%,3.8%,0,4
Ceos,KaBuM!,Support,25,44%,3,0.7,3.2,8.7,1.4,244,71.5%,7.2,159,3.53,1.85,0.47,0.49,-169,0,-142,28%,16%,0,-
Croc,LOUD,Jungle,30,70%,3.3,2.1,3.4,9.1,5.5,331,72.5%,12,284,1.47,0.39,0.33,0.29,48,0,31,23.3%,20%,0,1
Damage,INTZ,Support,18,16.7%,2.2,0.8,3.9,7.8,1.3,236,74.3%,8.6,176,3.22,1.81,0.36,0.48,-218,-10,-397,33.3%,22.2%,0,-
Disamis,Vivo Keyd,Jungle,36,61.1%,3.8,1.9,3,9.6,5.5,332,70.6%,12.5,300,1.48,0.29,0.42,0.24,-52,2,24,33.3%,5.6%,0,-
Drakehero,Liberty,Jungle,18,50%,3.3,1.4,2.7,7.4,6,332,75.2%,13.1,268,1.55,0.36,0.46,0.21,-26,9,192,11.1%,16.7%,0,-
Envy,LOS,Mid,26,42.3%,3.8,3.8,2.7,6.3,8.7,410,71.6%,29.3,616,1.21,0.51,0.24,0.21,192,1,43,15.4%,0%,0,8
Fuuu,Fluxo,Mid,18,38.9%,3.8,3.8,2.2,4.6,8.5,408,68.6%,28.9,608,01.09,0.46,0.18,0.23,-30,3,89,16.7%,5.6%,0,6
Grevthar,Red Canids,Mid,31,61.3%,5.1,3,2.2,8.3,7.8,373,70.6%,23.4,558,1.38,0.55,0.27,0.24,-184,-10,-292,22.6%,3.2%,0,1
Guigo,Vivo Keyd,Top,36,61.1%,3.3,4.9,3.1,5.2,8.2,427,60.8%,25.3,621,1.15,0.39,0.22,0.19,251,5,133,25%,19.4%,0,21
Hauz,KaBuM!,Mid,25,44%,4.2,2.9,2.3,6.6,8.6,402,75.3%,33.1,739,01.06,0.43,0.22,0.18,148,2,32,24%,12%,0,2
JoJo,Red Canids,Support,29,62.1%,4.9,0.7,2.5,11.7,1.1,250,79.3%,8.4,192,3.38,1.79,0.37,0.49,100,-3,244,34.5%,17.2%,0,-
Kabbie,LOS,Support,26,42.3%,3.6,0.7,3,10,1.5,246,73.9%,9.4,197,3.89,2.38,0.44,0.55,56,3,-166,23.1%,11.5%,0,-
Kiari,Fluxo,Top,18,38.9%,2.1,2.5,3.1,4.1,8,392,52.3%,24.3,513,01.03,0.38,0.2,0.16,-83,-1,67,11.1%,11.1%,0,4
Kojima,Fluxo,ADC,18,38.9%,3.3,2.8,2.3,4.8,8.5,400,63.8%,25.6,557,1.32,0.48,0.42,0.18,-246,2,-39,27.8%,0%,0,-
Kuri,paiN,Support,40,57.5%,4.7,0.8,2.6,11.3,1.3,252,77.6%,8.9,215,3.72,2.13,0.43,0.45,37,1,205,40%,7.5%,0,-
Leleko,Vivo Keyd,Mid,28,60.7%,5.3,3.4,2.3,8.5,8.7,409,71.1%,26.4,651,1.16,0.43,0.28,0.16,-64,5,101,3.6%,3.6%,0,6
Lonely,KaBuM!,Top,25,44%,2.8,2.4,2.4,4.4,8.1,380,55.6%,22.3,490,1.16,0.45,0.27,0.19,-219,-4,-136,12%,12%,0,9
Makes,Liberty,Top,18,50%,1.9,3.2,3.7,3.7,7.9,384,55.7%,25.4,512,01.03,0.42,0.17,0.13,197,10,269,16.7%,5.6%,1,13
Malrang,KaBuM!,Jungle,25,44%,4,2,2.3,7.1,5.2,313,79.1%,11.5,263,1.59,0.44,0.39,0.32,-221,-6,-234,36%,12%,0,1
Mir,FURIA,Jungle,10,30%,2.3,1.6,3.9,7.4,5.7,318,81.2%,13.7,267,1.67,0.46,0.45,0.35,163,5,67,70%,0%,0,1
Netuno,KaBuM!,ADC,25,44%,4.5,4.1,1.8,4.2,9.3,435,67%,25.9,590,1.29,0.47,0.34,0.12,-278,-1,-136,20%,4%,1,-
NinjaKiwi,INTZ,ADC,18,16.7%,2.7,3.4,3.3,5.5,8.5,402,76.2%,30.9,674,1.51,0.54,0.45,0.2,257,16,437,27.8%,0%,0,3
Pilot,Liberty,Mid,18,50%,4.5,3.3,1.8,4.7,8.9,412,72.3%,27.9,562,1.21,0.42,0.25,0.2,-25,1,-124,5.6%,5.6%,0,6
ProDelta,Vivo Keyd,Support,36,61.1%,4,0.9,3.2,11.7,1.2,269,78%,8.2,195,04.05,02.08,0.59,0.5,-24,2,49,25%,19.4%,0,2
RedBert,LOUD,Support,30,70%,3.4,1,3.6,11,1.6,261,77.6%,7,169,2.99,1.58,0.31,0.39,177,9,81,26.7%,13.3%,0,1
Robo,LOUD,Top,30,70%,2.6,3.6,3.4,5.2,8.4,414,56.9%,23.3,553,1.19,0.47,0.23,0.16,67,1,-85,6.7%,20%,0,11
Route,LOUD,ADC,30,70%,6.2,4.5,1.8,6.5,8.2,428,69.5%,27.7,688,1.99,0.8,0.46,0.29,-146,-13,-234,23.3%,3.3%,0,1
SMILEY,Vivo Keyd,ADC,36,61.1%,3.8,4.9,2.9,6.1,9.6,456,68.1%,26.7,657,1.31,0.4,0.42,0.09,28,5,11,27.8%,2.8%,1,4
Seize,LOS,Jungle,26,42.3%,3.5,2.3,3,8,5.1,314,74.6%,12.1,262,1.51,0.37,0.41,0.33,147,-3,-66,46.2%,7.7%,0,-
StineR,FURIA,Jungle,8,12.5%,2,1.4,4.3,7.3,4.7,289,77.1%,13,271,1.66,0.51,0.39,0.39,-228,-5,-195,25%,12.5%,0,-
Sting,Fluxo,Jungle,18,38.9%,2.6,2.2,3.1,6,5.7,331,68.7%,14.4,306,1.48,0.35,0.43,0.25,-29,3,90,33.3%,11.1%,0,-
SuperCleber,LOS,Top,26,42.3%,3.3,3.5,2.7,5.3,8.3,399,61.2%,23.4,495,01.01,0.44,0.15,0.24,223,6,318,30.8%,7.7%,1,7
Tay,INTZ,Top,18,16.7%,1.8,2.3,3.1,3.3,7.6,360,40.7%,18.4,405,01.06,0.37,0.22,0.19,-379,-9,-264,0%,22.2%,0,2
Tinowns,LOUD,Mid,30,70%,9.1,4.3,1.3,7.6,8.7,420,74.4%,30,737,1.38,0.47,0.33,0.24,151,2,251,6.7%,10%,0,6
Titan,paiN,ADC,40,57.5%,3.9,5.7,2.9,5.6,9.7,458,72.1%,28.6,713,1.42,0.52,0.39,0.22,335,5,68,30%,2.5%,0,3
Toucouille,Vivo Keyd,Mid,8,62.5%,3.7,3.5,2.4,5.3,8.5,411,62.7%,30.3,688,0.91,0.39,0.14,0.13,363,11,325,25%,12.5%,0,-
Tutsz,FURIA,Mid,18,22.2%,2.9,2.3,2.7,5.5,8.6,388,64.8%,27.1,558,1.11,0.39,0.24,0.24,-27,5,35,22.2%,0%,0,3
Wizer,paiN,Top,40,57.5%,3.1,3.1,2.9,6.1,8,391,58.4%,23.6,587,1.15,0.41,0.22,0.21,-204,-4,-199,20%,10%,0,10
Yampi,INTZ,Jungle,18,16.7%,2,1.3,3.9,6.4,5.1,297,66.2%,12.8,290,1.38,0.33,0.32,0.26,-294,-6,-200,11.1%,11.1%,0,2
destroy,FURIA,Top,10,30%,1.8,2.1,3,3.4,8.1,377,51.9%,27.1,536,1.32,0.41,0.32,0.27,45,3,-127,30%,10%,0,3
dyNquedo,paiN,Mid,40,57.5%,6.6,3.9,1.7,7.5,8.5,412,73.8%,27.5,671,1.45,0.5,0.36,0.32,54,0,26,30%,2.5%,0,3
fNb,Red Canids,Top,31,61.3%,4.4,3.2,2,5.8,8.1,403,55.5%,23.7,567,1.15,0.41,0.25,0.18,280,1,248,19.4%,12.9%,0,11
frosty,Red Canids,Support,2,50%,3.5,1.5,3,9,2.1,282,87.5%,15.2,441,4.11,1.8,0.73,0.36,113,0,848,0%,0%,0,-
micaO,Liberty,ADC,18,50%,2.4,2.7,3.1,4.8,7.8,381,61.7%,25.2,515,1.15,0.47,0.3,0.1,-946,-17,-519,5.6%,27.8%,0,-
scamber,Fluxo,Support,18,38.9%,2.5,0.7,3.6,8.3,1.2,247,74.1%,7,145,3.3,1.83,0.33,0.57,-141,-14,-286,38.9%,22.2%,0,-
uZent,FURIA,Support,2,0%,0.8,0,4.5,3.5,1.2,215,66.7%,6.5,121,3.57,1.76,0.51,0.56,-182,1,-94,0%,0%,0,-
xyno,FURIA,Top,8,12.5%,1.4,2.3,4.6,4.3,8,375,49.3%,20,421,1.27,0.45,0.29,0.26,-946,-24,-858,25%,25%,0,1
zay,FURIA,Support,16,25%,2.8,2.1,3.3,7.4,1.3,260,76.3%,11.6,239,4.3,2.26,0.64,0.5,86,-6,12,25%,25%,0,2